2026-05-26 06:39:01.089 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:52.064 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:52.065 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:52.066 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:52.066 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:52.067 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:52.067 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:52.722 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:31:53.743 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:31:54.752 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:31:55.140 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:55.141 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:55.142 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:55.143 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:55.146 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:55.147 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:55.148 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:55.149 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:55.774 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:31:56.782 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:31:57.818 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:31:58.182 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:58.182 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:58.183 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:58.183 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:58.184 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:58.184 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:58.185 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:58.185 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:31:58.839 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:31:59.873 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:00.907 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:01.207 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:01.216 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:01.217 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:01.218 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:01.219 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:01.219 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:01.219 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:01.220 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:01.940 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:02.955 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:03.975 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:04.286 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:04.287 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:04.287 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:04.288 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:04.288 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:04.288 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:04.289 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:04.290 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:05.002 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:06.014 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:07.032 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:07.333 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:07.334 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:07.334 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:07.349 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:07.350 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:07.351 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:07.351 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:07.352 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:08.052 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:09.073 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:10.087 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:10.361 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:10.361 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:10.362 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:10.363 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:10.363 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:10.363 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:10.379 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:10.380 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:11.098 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:12.114 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:13.141 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:13.426 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:13.427 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:13.428 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:13.428 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:13.429 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:13.429 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:13.430 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:13.430 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:14.151 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:15.174 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:16.201 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:16.487 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:16.488 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:16.488 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:16.490 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:16.491 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:16.492 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:16.492 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:16.492 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:17.227 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:18.237 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:19.254 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:19.561 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:19.562 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:19.564 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:19.565 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:19.566 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:19.568 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:19.569 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:19.571 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:20.258 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:21.272 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:22.292 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:22.638 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:22.638 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:22.639 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:22.639 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:22.640 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:22.641 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:22.641 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:22.641 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:23.313 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:24.329 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:25.346 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:25.712 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:25.713 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:25.714 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:25.715 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:25.716 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:25.716 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:25.717 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:25.717 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:26.376 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:27.409 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:28.438 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:28.784 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:28.785 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:28.785 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:28.786 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:28.786 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:28.787 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:28.788 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:28.788 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:29.468 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:30.502 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:31.525 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:31.847 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:31.848 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:31.848 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:31.849 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:31.850 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:31.850 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:31.851 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:31.851 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:32.539 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:33.543 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:34.558 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:34.886 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:34.887 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:34.888 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:34.888 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:34.897 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:34.898 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:34.899 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:34.899 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:35.592 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:36.608 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:37.627 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:37.941 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:37.941 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:37.942 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:37.943 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:37.943 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:37.944 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:37.944 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:37.944 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:38.662 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:39.672 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:40.697 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:41.009 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:41.010 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:41.011 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:41.012 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:41.012 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:41.014 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:41.014 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:41.015 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:41.733 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:42.753 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:43.768 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:44.069 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:44.070 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:44.071 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:44.071 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:44.073 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:44.073 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:44.074 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:44.074 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:44.790 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:45.803 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:46.813 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:47.120 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:47.120 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:47.121 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:47.121 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:47.122 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:47.123 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:47.123 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:47.123 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:47.833 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:48.848 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:49.878 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:50.189 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:50.190 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:50.190 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:50.191 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:50.192 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:50.192 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:50.193 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:50.193 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:50.894 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:51.916 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:52.950 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:53.267 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:53.268 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:53.269 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:53.269 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:53.269 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:53.270 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:53.271 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:53.272 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:53.976 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:54.981 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:56.002 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:56.354 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:56.354 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:56.355 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:56.355 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:56.357 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:56.358 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:56.358 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:56.358 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:57.014 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:58.033 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:59.055 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:32:59.427 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:59.427 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:59.428 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:59.429 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:59.430 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:59.430 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:59.430 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:32:59.431 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:33:00.067 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:33:01.096 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:33:02.116 [   DEBUG] (             sink.py: 354) pop timed out, cancelling future
2026-05-26 07:33:02.504 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:33:02.505 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:33:02.505 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:33:02.507 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:33:02.508 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:33:02.508 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:33:02.509 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
2026-05-26 07:33:02.509 [   DEBUG] (           server.py:  98) Received [0] bytes from [('127.0.0.1', 30101)].
